name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_county,gnis_latitude,gnis_longitude,latitude,longitude,state_full,state_latitude,state_longitude
AARON,AARON,MO,Bates,1895.0,1933.0,True,2.0,4,True,38.0,True,AARON,MO,2091668.0,Post Office,Bates,38.4222222,-94.1541667,38.4222222,-94.1541667,Missouri,38.29739780113773,-92.40621321592816
ABADYL,ABADYL,MO,Christian,1895.0,1919.0,True,4.0,13,True,24.0,True,ABADYL,MO,740613.0,Populated Place,Christian,37.0383858,-92.9471194,37.0383858,-92.9471194,Missouri,38.29739780113773,-92.40621321592816
ABATTIS,ABATTIS,MO,Warren,1878.0,1904.0,True,5.0,15,True,26.0,True,ABATTIS,MO,2091669.0,Post Office,Warren,38.8166667,-91.3916667,38.8166667,-91.3916667,Missouri,38.29739780113773,-92.40621321592816
ABBOTT,ABBOTT,MO,Greene,1892.0,1902.0,True,5.0,31,True,10.0,True,ABBOTT,MO,740362.0,Locale,Greene,37.2914349,-93.2640765,37.2914349,-93.2640765,Missouri,38.29739780113773,-92.40621321592816
ABERDEEN,ABERDEEN,MO,Pike,1871.0,1907.0,False,5.0,53,True,36.0,True,ABERDEEN,MO,759548.0,Post Office,Pike,39.2769906,-90.9984687,39.2769906,-90.9984687,Missouri,38.29739780113773,-92.40621321592816
ABERNATHY,ABERNATHY,MO,Perry,1834.0,1873.0,False,5.0,65,True,39.0,True,ABERNATHY,MO,713126.0,School,Perry,37.6658857,-89.7856602,37.6658857,-89.7856602,Missouri,38.29739780113773,-92.40621321592816
ABESVILLE,ABESVILLE,MO,Stone,1906.0,1914.0,True,4.0,70,True,8.0,True,ABESVILLE,MO,713127.0,Populated Place,Stone,36.8397806,-93.3707428,36.8397806,-93.3707428,Missouri,38.29739780113773,-92.40621321592816
ABO,ABO,MO,Laclede,1893.0,1940.0,True,2.0,91,True,47.0,True,ABO,MO,2093308.0,Post Office,Laclede,37.6972222,-92.4652778,37.6972222,-92.4652778,Missouri,38.29739780113773,-92.40621321592816
ACASTO,ACASTO,MO,Clark,1857.0,1905.0,True,4.0,113,True,48.0,True,ACASTO,MO,759808.0,Post Office,Clark,40.59809,-91.8340575,40.59809,-91.8340575,Missouri,38.29739780113773,-92.40621321592816
ACME,ACME,MO,Clay,1882.0,1900.0,True,5.0,141,True,18.0,True,ACME,MO,759721.0,Post Office,Clay,39.2308358,-94.5449544,39.2308358,-94.5449544,Missouri,38.29739780113773,-92.40621321592816
