name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full,state_latitude,state_longitude
HOME CITY,HOME CITY,OH,Hamilton,1851.0,1909.0,False,2.0,89514,True,58.0,True,HOME CITY,HAMILTON,OH,1989723.0,Post Office,Home City Post Office,Hamilton,39.11256,-84.68884,160.0,1.0,39.11256,-84.68884,Ohio,40.152075305199205,-82.69208475815202
SOMERVILLE,SOMERVILLE,ME,Lincoln,1858.0,1908.0,True,3.0,53613,True,50.0,True,SOMERVILLE,LINCOLN,ME,575719.0,Populated Place,Somerville,Lincoln,44.3092388,-69.4889319,64.0,1.0,44.3092388,-69.4889319,Maine,44.62629694764543,-69.39335615798707
LLOYD,LLOYD,PA,Tioga,1868.0,1935.0,True,2.0,33298,True,67.0,True,LLOYD,TIOGA,PA,1214385.0,Post Office,Lloyd Post Office (historical),Tioga,41.5559037,-77.3802564,261.0,1.0,41.5559037,-77.3802564,Pennsylvania,40.72547983697331,-77.55723820194132
LAKE,LAKE,NC,Davidson,1903.0,1914.0,True,4.0,93420,True,11.0,True,LAKE,DAVIDSON,NC,1023724.0,Locale,Lake (historical),Davidson,35.84625,-80.17421,205.0,1.0,35.84625,-80.17421,North Carolina,35.65762478682171,-79.85172837217462
RECTOR,RECTOR,MO,Shannon,1894.0,1954.0,True,1.0,47791,True,60.0,True,RECTOR,SHANNON,MO,741189.0,Populated Place,Rector,Shannon,37.4069897,-91.5095872,288.0,1.0,37.4069897,-91.5095872,Missouri,38.29739780113773,-92.40621321592816
LACTIN,LACTIN,IA,Cedar,1851.0,1857.0,True,7.0,93348,True,6.0,True,LACTIN,CEDAR,IA,2001548.0,Post Office,Lactin Post Office (historical),Cedar,41.6253,-91.03349,232.0,1.0,41.6253,-91.03349,Iowa,41.92312560548421,-93.1251007552586
SHOUPS FORD,SHOUPS FORD,NC,Burke,1876.0,1911.0,True,4.0,113347,True,35.0,True,SHOUPS FORD,BURKE,NC,1022619.0,Populated Place,Shoups Ford,Burke,35.5918,-81.55981,337.0,1.0,35.5918,-81.55981,North Carolina,35.65762478682171,-79.85172837217462
NAFF,NAFF,LA,Morehouse,1895.0,1914.0,True,4.0,39521,True,19.0,True,NAFF,MOREHOUSE,LA,546917.0,Populated Place,Naff,Morehouse,32.9351287,-91.9184623,35.0,1.0,32.9351287,-91.9184623,Louisiana,31.25885839387474,-91.9906807220234
CACTUS,CACTUS,KS,Norton,1874.0,1903.0,True,5.0,129305,True,29.0,True,CACTUS,NORTON,KS,482418.0,Locale,Cactus (historical),Norton,39.75612,-99.66872,672.0,1.0,39.75612,-99.66872,Kansas,38.52652031092821,-97.41166347965247
VANSVILLE,VANSVILLE,MD,Prince Georges,1804.0,1835.0,True,7.0,119221,True,31.0,True,VANSVILLE,PRINCE GEORGE'S,MD,1714245.0,Post Office,Vansville Post Office,Prince George's,39.0336,-76.91275,46.0,1.0,39.0336,-76.91275,Maryland,39.122077160656936,-76.77834919226278
THURBER,THURBER,TX,Erath,1889.0,1936.0,True,2.0,161696,True,47.0,True,THURBER,ERATH,TX,1379160.0,Populated Place,Thurber,Erath,32.50735,-98.41727,314.0,1.0,32.50735,-98.41727,Texas,31.49183703480589,-97.29755489625168
SHELBY,SHELBY,TX,Austin,1839.0,1912.0,True,4.0,158542,True,73.0,True,SHELBY,AUSTIN,TX,1347010.0,Populated Place,Shelby,Austin,30.02161,-96.59831,138.0,1.0,30.02161,-96.59831,Texas,31.49183703480589,-97.29755489625168
SAINT JOE,SAINT JOE,PA,Butler,1877.0,1902.0,True,4.0,50517,True,25.0,True,SAINT JOE,BUTLER,PA,1204574.0,Populated Place,Saint Joe,Butler,40.9045083,-79.7736621,432.0,1.0,40.9045083,-79.7736621,Pennsylvania,40.72547983697331,-77.55723820194132
LINN FLAT,LINN FLAT,TX,Nacogdoches,1850.0,1918.0,True,4.0,146121,True,68.0,True,LINN FLAT,NACOGDOCHES,TX,1380089.0,Populated Place,Linn Flat,Nacogdoches,31.7899,-94.73188,134.0,1.0,31.7899,-94.73188,Texas,31.49183703480589,-97.29755489625168
HALLET,HALLET,KS,Hodgeman,1905.0,1920.0,True,3.0,140203,True,15.0,True,HALLET,HODGEMAN,KS,471563.0,Civil,Township of Hallet,Hodgeman,38.08767,-100.0631,755.0,,38.08767,-100.0631,Kansas,38.52652031092821,-97.41166347965247
ARKALON,ARKALON,KS,Seward,1888.0,1929.0,True,3.0,125279,True,41.0,True,ARKALON,SEWARD,KS,484534.0,Populated Place,Arkalon,Seward,37.14308,-100.8074,798.0,1.0,37.14308,-100.8074,Kansas,38.52652031092821,-97.41166347965247
STRAUBVILLE,STRAUBVILLE,ND,Sargent,1887.0,1984.0,True,1.0,160421,True,97.0,True,STRAUBVILLE,SARGENT,ND,1032364.0,Populated Place,Straubville,Sargent,46.04386,-97.9001,401.0,1.0,46.04386,-97.9001,North Dakota,47.49648331707317,-99.80502257317072
PINE FOREST,PINE FOREST,TX,Hopkins,1889.0,1905.0,True,5.0,153728,True,16.0,True,PINE FOREST,HOPKINS,TX,1378864.0,Populated Place,Pine Forest,Hopkins,33.11262,-95.38467,159.0,1.0,33.11262,-95.38467,Texas,31.49183703480589,-97.29755489625168
RONDOUT,RONDOUT,IL,Lake,1888.0,1931.0,False,2.0,110493,True,43.0,True,RONDOUT,LAKE,IL,416905.0,Populated Place,Rondout,Lake,42.28002,-87.89535,207.0,1.0,42.28002,-87.89535,Illinois,40.10173193774704,-89.09195342628459
HELENA STATION,HELENA STATION,KY,Mason,1878.0,1937.0,True,2.0,88360,True,59.0,True,HELENA,MASON,KY,494005.0,Populated Place,Helena,Mason,38.49341,-83.7752,252.0,1.0,38.49341,-83.7752,Kentucky,37.61319005289673,-84.68927476511334
WALTERTOWN,WALTERTOWN,GA,Ware,1890.0,1907.0,True,5.0,60221,True,17.0,True,WALTERTOWN,WARE,GA,333360.0,Populated Place,Waltertown,Ware,31.2996584,-82.402354,42.0,1.0,31.2996584,-82.402354,Georgia,33.12832351739887,-83.74456450104394
WINNER,WINNER,TN,Carter,1899.0,1906.0,True,5.0,63144,True,7.0,True,WINNER,CARTER,TN,1327407.0,Populated Place,Winner,Carter,36.3970566,-82.1090158,530.0,1.0,36.3970566,-82.1090158,Tennessee,35.90304088108576,-85.8669100795989
EAGLE,EAGLE,ID,Shoshone,1884.0,1888.0,True,7.0,134975,True,4.0,True,EAGLE,SHOSHONE,ID,396428.0,Populated Place,Eagle,Shoshone,47.64354,-115.9179,776.0,1.0,47.64354,-115.9179,Idaho,44.65880326625387,-114.70573529411764
VEACH,VEACH,TX,San Augustine,1916.0,1936.0,True,2.0,163148,True,20.0,True,VEACH,SAN AUGUSTINE,TX,1383708.0,Populated Place,Veach,San Augustine,31.22158,-94.17964,68.0,1.0,31.22158,-94.17964,Texas,31.49183703480589,-97.29755489625168
BOILSTON,BOILSTON,NC,Henderson,1844.0,1904.0,False,5.0,69758,True,60.0,True,BOILSTON,HENDERSON,NC,1023420.0,Populated Place,Boilston,Henderson,35.350114,-82.623457,680.0,1.0,35.350114,-82.623457,North Carolina,35.65762478682171,-79.85172837217462
RED ROCK,RED ROCK,AZ,Yavapai,1879.0,1881.0,True,9.0,155505,True,2.0,True,RED ROCK,YAVAPAI,AZ,33497.0,Populated Place,Red Rock,Yavapai,34.82557,-111.8165,1212.0,1.0,34.82557,-111.8165,Arizona,33.54288046460177,-111.52553561946904
HUGHES,HUGHES,TN,Macon,1890.0,1905.0,True,5.0,27858,True,15.0,True,HUGHES,MACON,TN,2084547.0,Cemetery,Hughes Cemetery,Macon,36.546382,-86.121384,281.0,1.0,36.546382,-86.121384,Tennessee,35.90304088108576,-85.8669100795989
SANGER,SANGER,ND,Oliver,1881.0,1964.0,True,1.0,157710,True,83.0,True,SANGER,OLIVER,ND,1031352.0,Populated Place,Sanger,Oliver,47.17971,-100.9954,520.0,1.0,47.17971,-100.9954,North Dakota,47.49648331707317,-99.80502257317072
JOPPA,JOPPA,WV,Braxton,1905.0,1919.0,True,4.0,91829,True,14.0,True,JOPPA,BRAXTON,WV,1549764.0,Populated Place,Joppa,Braxton,38.77871,-80.48814,320.0,1.0,38.77871,-80.48814,West Virginia,38.621691901095794,-80.8000481173913
BORDEAUX,BORDEAUX,TN,Davidson,1892.0,1902.0,True,5.0,6054,True,10.0,True,BORDEAUX,DAVIDSON,TN,1277996.0,Populated Place,Bordeaux,Davidson,36.1939448,-86.8313884,151.0,1.0,36.1939448,-86.8313884,Tennessee,35.90304088108576,-85.8669100795989
