name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full,state_latitude,state_longitude
INDIAN PRAIRIE,INDIAN PRAIRIE (1),IL,Wayne,1854.0,1858.0,True,5.0,90614,True,4.0,True,INDIAN PRAIRIE,WAYNE,IL,429168.0,Civil,Township of Indian Prairie,Wayne,38.51809,-88.52807,159.0,,38.51809,-88.52807,Illinois,40.10173193774704,-89.09195342628459
LA VINA,LA VINA,CA,Madera,1891.0,1895.0,True,7.0,144768,True,4.0,True,LA VINA,MADERA,CA,226721.0,Populated Place,La Vina,Madera,36.8805,-120.1104,70.0,1.0,36.8805,-120.1104,California,37.39580678039404,-120.4122934166266
BELLFOUNTAIN,BELLFOUNTAIN,OR,Benton,1902.0,1905.0,True,7.0,126735,True,3.0,True,BELLFOUNTAIN,BENTON,OR,1164906.0,Post Office,Bellfountain Post Office (historical),Benton,44.36373,-123.3554,98.0,1.0,44.36373,-123.3554,Oregon,44.44548039933444,-121.82370232945092
MABEL,MABEL,NC,Watauga,1894.0,1954.0,True,1.0,96594,True,60.0,True,MABEL,WATAUGA,NC,1021319.0,Populated Place,Mabel,Watauga,36.31735,-81.76872,905.0,1.0,36.31735,-81.76872,North Carolina,35.65762478682171,-79.85172837217462
WILLOW,WILLOW,AR,Dallas,1882.0,1967.0,True,1.0,62862,True,85.0,True,WILLOW,DALLAS,AR,58896.0,Populated Place,Willow,Dallas,34.1337085,-92.7462753,100.0,1.0,34.1337085,-92.7462753,Arkansas,35.01494461423343,-92.50292319068728
GARDINER,GARDINER,IA,Dallas,1908.0,1917.0,True,4.0,84370,True,9.0,True,GARDINER,DALLAS,IA,1996194.0,Post Office,Gardiner Post Office (historical),Dallas,41.82443,-94.02801,290.0,1.0,41.82443,-94.02801,Iowa,41.92312560548421,-93.1251007552586
FUNK,FUNK,OH,Wayne,1897.0,1935.0,True,2.0,84138,True,38.0,True,FUNK,WAYNE,OH,1064695.0,Populated Place,Funk,Wayne,40.75311,-82.11626,299.0,1.0,40.75311,-82.11626,Ohio,40.152075305199205,-82.69208475815202
ALITAK,ALITAK,AK,,1934.0,1945.0,True,3.0,124435,True,11.0,True,ALITAK,KODIAK ISLAND,AK,1398007.0,Populated Place,Alitak,Kodiak Island,56.94556,-154.1703,10.0,1.0,56.94556,-154.1703,Alaska,60.97705223333333,-148.14889333333332
WOODHOLM,WOODHOLM,TN,Carroll,1833.0,1836.0,True,8.0,63458,True,3.0,True,WOODHILL,CARROLL,TN,1311772.0,Populated Place,Woodhill (historical),Carroll,35.8064555,-88.6222771,126.0,0.75,35.8064555,-88.6222771,Tennessee,35.90304088108576,-85.8669100795989
LURA,LURA,MN,Faribault,1858.0,1874.0,False,7.0,96390,True,16.0,True,LURA,FARIBAULT,MN,647303.0,Cemetery,Lura Cemetery,Faribault,43.7905,-93.948,325.0,1.0,43.7905,-93.948,Minnesota,45.838668873886334,-94.26161293179725
HALLDALE,HALLDALE,ME,Waldo,1883.0,1903.0,True,4.0,24666,True,20.0,True,HALLDALE,WALDO,ME,579379.0,Populated Place,Halldale,Waldo,44.5078489,-69.2792089,178.0,1.0,44.5078489,-69.2792089,Maine,44.62629694764543,-69.39335615798707
HO,HO,TN,Monroe,1882.0,1904.0,True,5.0,26850,True,22.0,True,HO,MONROE,TN,1308301.0,Populated Place,Ho (historical),Monroe,35.4606315,-84.3799236,306.0,1.0,35.4606315,-84.3799236,Tennessee,35.90304088108576,-85.8669100795989
ANDING,ANDING,MS,Yazoo,1884.0,1953.0,True,1.0,1255,True,69.0,True,ANDING,YAZOO,MS,690981.0,Populated Place,Anding,Yazoo,32.6920811,-90.39787,88.0,1.0,32.6920811,-90.39787,Mississippi,32.904513690654625,-89.66801400419865
HANOVERVILLE,HANOVERVILLE,MD,Howard,1881.0,1896.0,True,4.0,87343,True,15.0,True,HANOVERVILLE,HOWARD,MD,584857.0,Populated Place,Hanoverville,Howard,39.19289,-76.72414,34.0,1.0,39.19289,-76.72414,Maryland,39.122077160656936,-76.77834919226278
YORKVILLE,YORKVILLE,SC,York,1833.0,1915.0,True,1.0,64057,True,82.0,True,YORKVILLE,YORK,SC,1252131.0,Post Office,Yorkville Post Office,York,34.9937466,-81.2406287,230.0,1.0,34.9937466,-81.2406287,South Carolina,34.12136880118953,-81.13033261165741
MILTON STATION,MILTON STATION,OH,Wayne,1870.0,1879.0,True,7.0,99534,True,9.0,True,MILTON STATION,WAYNE,OH,1061609.0,Populated Place,Milton Station,Wayne,40.97811,-81.78208,299.0,1.0,40.97811,-81.78208,Ohio,40.152075305199205,-82.69208475815202
NORTHWEST,NORTHWEST,VA,Norfolk,1884.0,1962.0,True,1.0,103081,True,78.0,True,NORTHWEST,CHESAPEAKE,VA,1780073.0,Post Office,Northwest Post Office,Chesapeake (city),36.56182,-76.20021,1.0,1.0,36.56182,-76.20021,Virginia,37.59297044544598,-78.73498313891332
TROTTI,TROTTI,TX,Newton,1900.0,1906.0,True,5.0,162276,True,6.0,True,TROTTI,NEWTON,TX,1983669.0,Populated Place,Trotti,Newton,30.87889,-93.70889,58.0,1.0,30.87889,-93.70889,Texas,31.49183703480589,-97.29755489625168
STAR,STAR,TN,Wayne,1895.0,1907.0,True,6.0,54972,True,12.0,True,STAR,WAYNE,TN,1302799.0,Populated Place,Star (historical),Wayne,35.0956375,-87.6580802,230.0,1.0,35.0956375,-87.6580802,Tennessee,35.90304088108576,-85.8669100795989
DRYER,DRYER,TX,Gonzales,1897.0,1906.0,True,5.0,134696,True,9.0,True,DRYER,GONZALES,TX,1356252.0,Populated Place,Dryer,Gonzales,29.36719,-97.27304,90.0,1.0,29.36719,-97.27304,Texas,31.49183703480589,-97.29755489625168
