name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full
AARON,AARON,MO,Bates,1895.0,1933.0,True,2.0,4,True,38.0,True,AARON,BATES,MO,2091668.0,Post Office,Aaron Post Office (historical),Bates,38.4222222,-94.1541667,268.0,1.0,38.4222222,-94.1541667,Missouri
AARON,AARON,GA,Bulloch,1909.0,1920.0,True,3.0,7,True,11.0,True,AARON,BULLOCH,GA,326146.0,Populated Place,Aaron,Bulloch,32.5682197,-81.9923397,81.0,1.0,32.5682197,-81.9923397,Georgia
AARON,AARON,SC,Anderson,1892.0,1899.0,True,6.0,9,True,7.0,True,AARON,ANDERSON,SC,1253367.0,Post Office,Aaron Post Office (historical),Anderson,34.5770533,-82.6234664,265.0,1.0,34.5770533,-82.6234664,South Carolina
ABADYL,ABADYL,MO,Christian,1895.0,1919.0,True,4.0,13,True,24.0,True,ABADYL,CHRISTIAN,MO,740613.0,Populated Place,Abadyl,Christian,37.0383858,-92.9471194,402.0,1.0,37.0383858,-92.9471194,Missouri
ABATTIS,ABATTIS,MO,Warren,1878.0,1904.0,True,5.0,15,True,26.0,True,ABATTIS,WARREN,MO,2091669.0,Post Office,Abattis Post Office (historical),Warren,38.8166667,-91.3916667,169.0,1.0,38.8166667,-91.3916667,Missouri
ABAUGH,ABAUGH,AR,Newton,1928.0,1954.0,True,1.0,16,True,26.0,True,ARBAUGH,NEWTON,AR,70458.0,Populated Place,Arbaugh,Newton,35.7817467,-93.5015737,714.0,0.833333333333333,35.7817467,-93.5015737,Arkansas
ABBA,ABBA,GA,Irwin,1884.0,1954.0,True,1.0,19,True,70.0,True,ABBA,IRWIN,GA,330993.0,Populated Place,Abba,Irwin,31.7568495,-83.3704361,110.0,1.0,31.7568495,-83.3704361,Georgia
ABBEY,ABBEY,AL,Franklin,1898.0,1902.0,True,6.0,24,True,4.0,True,ABBEY,FRANKLIN,AL,166634.0,Post Office,Abbey Post Office (historical),Franklin,34.5459268,-87.5689162,186.0,1.0,34.5459268,-87.5689162,Alabama
ABBEY,ABBEY,NY,Chautauqua,1898.0,1898.0,True,8.0,25,True,0.0,True,ABBEY,CHAUTAUQUA,NY,942115.0,Cemetery,Abbey Cemetery,Chautauqua,42.4314377,-79.1978193,342.0,1.0,42.4314377,-79.1978193,New York
ABBIE JOE,ABBIE JOE,LA,Beauregard,1918.0,1925.0,True,3.0,26,True,7.0,True,ABBIE JOE,BEAUREGARD,LA,544790.0,Populated Place,Abbie Joe (historical),Beauregard,30.4918659,-93.3032165,20.0,1.0,30.4918659,-93.3032165,Louisiana
ABBOT,ABBOT(T),ME,Piscataquia/Somerset,1825.0,1912.0,True,2.0,28,True,87.0,True,ABBOT,PISCATAQUIS,ME,1910003.0,Post Office,Abbot Post Office,Piscataquis,45.1861442,-69.4541013,141.0,1.0,45.1861442,-69.4541013,Maine
ABBOTSFORD,ABBOTSFORD,NY,Westchester,1851.0,1852.0,True,9.0,29,True,1.0,True,ABBOTSFORD,WESTCHESTER,NY,942546.0,Populated Place,Abbotsford,Westchester,41.0250973,-73.8704127,46.0,1.0,41.0250973,-73.8704127,New York
ABBOTT,ABBOTT,MO,Greene,1892.0,1902.0,True,5.0,31,True,10.0,True,ABBOTT,GREENE,MO,740362.0,Locale,Abbott,Greene,37.2914349,-93.2640765,393.0,1.0,37.2914349,-93.2640765,Missouri
ABBOTT,ABBOTT,TN,Campbell,1890.0,1892.0,True,6.0,32,True,2.0,True,ABBOT,CAMPBELL,TN,1311317.0,Populated Place,Abbot,Campbell,36.3695241,-84.2735421,423.0,0.833333333333333,36.3695241,-84.2735421,Tennessee
ABBOTT,ABBOTT,AR,Scott,1899.0,1973.0,True,1.0,34,True,74.0,True,ABBOTT,SCOTT,AR,70403.0,Populated Place,Abbott,Scott,35.0734293,-94.1938205,190.0,1.0,35.0734293,-94.1938205,Arkansas
ABBOTT,ABBOTT,MS,Clay,1880.0,1941.0,True,2.0,36,True,61.0,True,ABBOTT,CLAY,MS,666126.0,Populated Place,Abbott,Clay,33.6801182,-88.774496,76.0,1.0,33.6801182,-88.774496,Mississippi
ABBOTT RUN,ABBOTT RUN,RI,Providence,1884.0,1924.0,True,2.0,37,True,40.0,True,ABBOTT RUN,PROVIDENCE,RI,1218964.0,Populated Place,Abbott Run,Providence,41.9553769,-71.3889456,37.0,1.0,41.9553769,-71.3889456,Rhode Island
ABBOTTS,ABBOTTS,NY,Cattaraugus,1882.0,1903.0,True,6.0,38,True,21.0,True,ABBOTTS,CATTARAUGUS,NY,942120.0,Populated Place,Abbotts,Cattaraugus,42.257011,-78.3186277,498.0,1.0,42.257011,-78.3186277,New York
ABBOTTSFORD,ABBOTTSFORD,GA,Troup,1907.0,1926.0,True,3.0,41,True,19.0,True,ABBOTTSFORD,TROUP,GA,330994.0,Populated Place,Abbottsford,Troup,33.0473455,-85.1796645,212.0,1.0,33.0473455,-85.1796645,Georgia
ABDERA,ABDERA,PA,Clinton,1867.0,1904.0,True,4.0,43,True,37.0,True,ABDERA,CLINTON,PA,1197104.0,Populated Place,Abdera,Clinton,41.0306208,-77.5608261,265.0,1.0,41.0306208,-77.5608261,Pennsylvania
ABEL,ABEL,AL,Cleburne,1889.0,1907.0,True,5.0,46,True,18.0,True,ABEL,CLEBURNE,AL,159044.0,Populated Place,Abel,Cleburne,33.5487187,-85.7124608,294.0,1.0,33.5487187,-85.7124608,Alabama
