e,country,city,line,start_year,end_year,rr,length,tunnel_per,stations,cost,currency,year,ppp_rate,real_cost,cost_km_millions,continent
7136.0,CA,Vancouver,Broadway,2020.0,2025.0,0.0,5.7,87.72,6.0,2830.0,CAD,2018.0,0.84,2377.2,417.0526316,North America
7137.0,CA,Toronto,Vaughan,2009.0,2017.0,0.0,8.6,100.0,6.0,3200.0,CAD,2013.0,0.81,2592.0,301.3953488,North America
7138.0,CA,Toronto,Scarborough,2020.0,2030.0,0.0,7.8,100.0,3.0,5500.0,CAD,2018.0,0.84,4620.0,592.3076923,North America
7139.0,CA,Toronto,Ontario,2020.0,2030.0,0.0,15.5,57.0,15.0,8573.0,CAD,2019.0,0.84,7201.32,464.6012903,North America
7144.0,CA,Toronto,Yonge to Richmond Hill,2020.0,2030.0,0.0,7.4,100.0,6.0,5600.0,CAD,2020.0,0.84,4704.0,635.6756757,North America
7145.0,NL,Amsterdam,North-South,2003.0,2018.0,0.0,9.7,73.0,8.0,3100.0,EUR,2009.0,1.3,4030.0,415.4639175,Europe
7146.0,CA,Montreal,Blue Line extension,2020.0,2026.0,0.0,5.8,100.0,5.0,4500.0,CAD,2018.0,0.84,3780.0,651.7241379,North America
7147.0,US,Seattle,U-Link,2009.0,2016.0,0.0,5.1,100.0,2.0,1756.0,USD,2012.0,1.0,1756.0,344.3137255,North America
7152.0,US,Los Angeles,Purple Phase 3,2020.0,2027.0,0.0,4.2,100.0,2.0,3600.0,USD,2023.0,1.0,3600.0,857.1428571,North America
7153.0,US,Los Angeles,Purple Phase 2,2018.0,2026.0,0.0,4.2,100.0,2.0,2400.0,USD,2021.0,1.0,2400.0,571.4285714,North America
7154.0,US,Los Angeles,Purple Phase 1,2014.0,2023.0,0.0,6.3,100.0,3.0,2800.0,USD,2018.0,1.0,2800.0,444.4444444,North America
7155.0,US,Los Angeles,Regional Connector,2014.0,2022.0,0.0,3.1,100.0,3.0,1756.0,USD,2018.0,1.0,1756.0,566.4516129,North America
7160.0,US,San Francisco,Central Subway,2010.0,2021.0,0.0,2.7,100.0,4.0,1670.0,USD,2014.0,1.0,1670.0,618.5185185,North America
7161.0,US,Boston,Green Line Extension,2012.0,2021.0,0.0,7.6,0.0,7.0,2289.0,USD,2020.0,1.0,2289.0,301.1842105,North America
7162.0,CA,Ottawa,Confederation,2013.0,2019.0,0.0,12.5,20.0,13.0,2100.0,CAD,2016.0,0.83,1743.0,139.44,North America
7163.0,US,San Jose,BART,2022.0,2030.0,0.0,9.6,83.0,4.0,6900.0,USD,2026.0,1.0,6900.0,718.75,North America
7168.0,BG,Sofia,Line 1 northern,2009.0,2012.0,0.0,5.1,60.0,4.0,407.0,BGN,2010.0,1.69,687.83,134.8686275,Europe
7169.0,BG,Sofia,Line 1 southern,2013.0,2015.0,0.0,3.0,100.0,3.0,44.0,EUR,2014.0,3.32,146.08,48.69333333,Europe
7170.0,BG,Sofia,Line 2,2008.0,2012.0,0.0,17.0,90.0,11.0,952.0,EUR,2010.0,3.32,3160.64,185.92,Europe
7171.0,BG,Sofia,Line 2 extension,2012.0,2016.0,0.0,1.3,100.0,1.0,21.0,EUR,2014.0,3.32,69.72,53.63076923,Europe
7176.0,BG,Sofia,Line 3,2016.0,2021.0,0.0,12.0,100.0,12.0,500.0,EUR,2018.0,3.32,1660.0,138.3333333,Europe
7177.0,BG,Sofia,Line 3 extension (Third Stage),2021.0,2020.0,0.0,3.1,100.0,4.0,113.0,EUR,2021.0,3.32,373.5,120.483871,Europe
7178.0,PL,Warsaw,Line 2,2010.0,2015.0,0.0,6.5,100.0,7.0,5900.0,PLN,2012.0,0.557,3286.3,505.5846154,Europe
7179.0,PL,Warsaw,Line 2 extension to Trocka,2015.0,2019.0,0.0,3.1,100.0,3.0,1070.0,PLN,2017.0,0.576,616.32,198.8129032,Europe
7184.0,PL,Warsaw,Line 2 extenision to KJ,2015.0,2020.0,0.0,3.4,100.0,3.0,1148.0,PLN,2017.0,0.576,661.248,194.4847059,Europe
7185.0,PL,Warsaw,Line 2 extension to Bródno,2018.0,2022.0,0.0,4.0,100.0,3.0,1400.0,PLN,2020.0,0.571,799.4,199.85,Europe
7186.0,RO,Bucharest,Line 5,2014.0,2019.0,0.0,6.9,100.0,10.0,3122.0,RON,2016.0,0.596,1860.712,269.6684058,Europe
7187.0,RU,Moscow,Line 11,2017.0,2023.0,0.0,66.7,100.0,31.0,501000.0,RUB,2018.0,0.04,20040.0,300.4497751,Europe
7193.0,RU,Nizhniy Novgorod,Line 2 extension,2015.0,2018.0,0.0,2.5,100.0,1.0,11000.0,RUB,2016.0,0.041,451.0,180.4,Europe
7194.0,RU,Saint Petersburg,Line 3 extension,2014.0,2018.0,0.0,5.0,100.0,2.0,37000.0,RUB,2016.0,0.041,1517.0,303.4,Europe
7195.0,RU,Saint Petersburg,Line 5 extension,2013.0,2019.0,0.0,6.4,97.0,3.0,44600.0,RUB,2016.0,0.041,1828.6,285.71875,Europe
7200.0,RU,Moscow,Line 1 extension,2016.0,2019.0,0.0,11.6,14.0,3.0,41033.0,RUB,2018.0,0.04,1641.31476,141.4926517,Europe
7201.0,CZ,Prague,Line A extension,2010.0,2015.0,0.0,6.1,100.0,4.0,20200.0,CZK,2012.0,0.0752,1519.04,249.0229508,Europe
