e,country,city,line,start_year,end_year,length,tunnel_per,stations,cost,currency,year,real_cost,cost_km_millions
7136.0,CA,Vancouver,Broadway,2020.0,2025.0,5.7,87.72,6.0,2830.0,CAD,2018.0,2377.2,417.0526316
7137.0,CA,Toronto,Vaughan,2009.0,2017.0,8.6,100.0,6.0,3200.0,CAD,2013.0,2592,301.3953488
7138.0,CA,Toronto,Scarborough,2020.0,2030.0,7.8,100.0,3.0,5500.0,CAD,2018.0,4620,592.3076923
7139.0,CA,Toronto,Ontario,2020.0,2030.0,15.5,57.0,15.0,8573.0,CAD,2019.0,7201.32,464.6012903
7144.0,CA,Toronto,Yonge to Richmond Hill,2020.0,2030.0,7.4,100.0,6.0,5600.0,CAD,2020.0,4704,635.6756757
7145.0,NL,Amsterdam,North-South,2003.0,2018.0,9.7,73.0,8.0,3100.0,EUR,2009.0,4030,415.4639175
7146.0,CA,Montreal,Blue Line extension,2020.0,2026.0,5.8,100.0,5.0,4500.0,CAD,2018.0,3780,651.7241379
7147.0,US,Seattle,U-Link,2009.0,2016.0,5.1,100.0,2.0,1756.0,USD,2012.0,1756,344.3137255
7152.0,US,Los Angeles,Purple Phase 3,2020.0,2027.0,4.2,100.0,2.0,3600.0,USD,2023.0,3600,857.1428571
7153.0,US,Los Angeles,Purple Phase 2,2018.0,2026.0,4.2,100.0,2.0,2400.0,USD,2021.0,2400,571.4285714
7154.0,US,Los Angeles,Purple Phase 1,2014.0,2023.0,6.3,100.0,3.0,2800.0,USD,2018.0,2800,444.4444444
7155.0,US,Los Angeles,Regional Connector,2014.0,2022.0,3.1,100.0,3.0,1756.0,USD,2018.0,1756,566.4516129
7160.0,US,San Francisco,Central Subway,2010.0,2021.0,2.7,100.0,4.0,1670.0,USD,2014.0,1670,618.5185185
7161.0,US,Boston,Green Line Extension,2012.0,2021.0,7.6,0.0,7.0,2289.0,USD,2020.0,2289,301.1842105
7162.0,CA,Ottawa,Confederation,2013.0,2019.0,12.5,20.0,13.0,2100.0,CAD,2016.0,1743,139.44
7163.0,US,San Jose,BART,2022.0,2030.0,9.6,83.0,4.0,6900.0,USD,2026.0,6900,718.75
7168.0,BG,Sofia,Line 1 northern,2009.0,2012.0,5.1,60.0,4.0,407.0,BGN,2010.0,687.83,134.8686275
7169.0,BG,Sofia,Line 1 southern,2013.0,2015.0,3.0,100.0,3.0,44.0,EUR,2014.0,146.08,48.69333333
7170.0,BG,Sofia,Line 2,2008.0,2012.0,17.0,90.0,11.0,952.0,EUR,2010.0,3160.64,185.92
7171.0,BG,Sofia,Line 2 extension,2012.0,2016.0,1.3,100.0,1.0,21.0,EUR,2014.0,69.72,53.63076923
7176.0,BG,Sofia,Line 3,2016.0,2021.0,12.0,100.0,12.0,500.0,EUR,2018.0,1660,138.3333333
7177.0,BG,Sofia,Line 3 extension (Third Stage),2021.0,2020.0,3.1,100.0,4.0,113.0,EUR,2021.0,373.5,120.483871
7178.0,PL,Warsaw,Line 2,2010.0,2015.0,6.5,100.0,7.0,5900.0,PLN,2012.0,3286.3,505.5846154
7179.0,PL,Warsaw,Line 2 extension to Trocka,2015.0,2019.0,3.1,100.0,3.0,1070.0,PLN,2017.0,616.32,198.8129032
7184.0,PL,Warsaw,Line 2 extenision to KJ,2015.0,2020.0,3.4,100.0,3.0,1148.0,PLN,2017.0,661.248,194.4847059
7185.0,PL,Warsaw,Line 2 extension to Bródno,2018.0,2022.0,4.0,100.0,3.0,1400.0,PLN,2020.0,799.4,199.85
7186.0,RO,Bucharest,Line 5,2014.0,2019.0,6.9,100.0,10.0,3122.0,RON,2016.0,1860.712,269.6684058
7187.0,RU,Moscow,Line 11,2017.0,2023.0,66.7,100.0,31.0,501000.0,RUB,2018.0,20040,300.4497751
7193.0,RU,Nizhniy Novgorod,Line 2 extension,2015.0,2018.0,2.5,100.0,1.0,11000.0,RUB,2016.0,451,180.4
7194.0,RU,Saint Petersburg,Line 3 extension,2014.0,2018.0,5.0,100.0,2.0,37000.0,RUB,2016.0,1517,303.4
7195.0,RU,Saint Petersburg,Line 5 extension,2013.0,2019.0,6.4,97.0,3.0,44600.0,RUB,2016.0,1828.6,285.71875
7200.0,RU,Moscow,Line 1 extension,2016.0,2019.0,11.6,14.0,3.0,41033.0,RUB,2018.0,1641.31476,141.4926517
7201.0,CZ,Prague,Line A extension,2010.0,2015.0,6.1,100.0,4.0,20200.0,CZK,2012.0,1519.04,249.0229508
7202.0,HU,Budapest,Line 4,2006.0,2014.0,7.4,100.0,10.0,452000.0,HUF,2010.0,3579.84,483.7621622
7203.0,FR,Toulouse,Line 3,2021.0,2025.0,27.0,60.0,21.0,2670.0,EUR,2016.0,3471,128.5555556
7208.0,IT,Turin,Line 1 phases 1-3,2000.0,2011.0,13.2,100.0,21.0,1046.0,EUR,2005.0,1307.625,99.0625
7209.0,IT,Turin,Line 1 south (phase 4),2012.0,2021.0,1.9,100.0,2.0,194.0,EUR,2016.0,251.55,132.3947368
7210.0,IT,Turin,Line 1 west (phase 5),2018.0,2024.0,3.4,100.0,4.0,304.0,EUR,2020.0,395.59,116.35
7211.0,FI,Helsinki,West Metro,2009.0,2017.0,13.5,100.0,8.0,1186.0,EUR,2013.0,1541.8,114.2074074
